Stem Type,Poppy Product ID,Poppy Product Name,2025 Overall Purchase Volume,Vendor Product Code,Vendor Product Name,Grade/Length (if applicable),Price Per Stem,Price Per Bunch,Bunch Size,MOQ,Source Country,Notes,unit of measure
Acacia ,,,,G1203,Acacia Knifeblade,,0.9,9.00,10,1,,Weighted,Bu
Acacia ,,,,G2037,Acacia Pearl,,1.998,9.99,5,1,,Weighted,Bu
Acacia ,,,,G1365,Acacia Purple Fernleaf,,1.998,9.99,5,1,,Weighted,Bu
Acacia   ,,,,38986,Acacia Mimosa Ylw 150g It/Fr,,2.998,14.99,5,1,,Weighted,Bu
Acacia   ,,,,22009,Acacia Mimosa Ylw 200g It/Fr,,3.998,19.99,5,1,,Weighted,Bu
Allium,,,,26179,Allium Prp Gladiator Dutch,,2.99,2.99,1,10,,,Stem
Amaranthus,14626,Amaranthus - Hanging Bronze,50,,,,,,,,,,
Amaranthus,32,Amaranthus - Hanging Coral,75,35473,,,1.714285714,12,7,1,,,bunch
Amaranthus,,Amaranthus Bronze Mira,,10491,,,1.428571429,10,7,1,,,bunch
Amaranthus,15641,Amaranthus- Green Upright - Short,80,27757,,,1.428571429,10,7,1,,,bunch
Amaranthus,15435,Amaranthus- Red Upright - Short,30,,,,1.428571429,10,7,,,,bunch
Amaranthus,15886,Amaranthus- Upright Hot Biscuits,325,12146,,,1.428571429,10,7,1,,,bunch
Amaranthus,15844,Amaranthus- Upright Red Velvet,420,,,,,,,,,,
Amaranthus,,Amaranthus Hanging Green,,25240,,,2.142857143,15,7,1,,,bunch
Amaranthus,,Amaranthus Hanging Red,,25229,,,2.142857143,15,7,1,,,bunch
Anemone,15955,Anemone Levante 40cm - White,155,48347,,,2,20,10,1,,,bunch
Anemone,14882,Anemone Mistral Blue,190,,,,2,20,10,1,,,bunch
Anemone,14992,Anemone Mistral Blush,1485,,,,2,20,10,1,,,bunch
Anemone,15787,Anemone Mistral Burgundy,1425,,,,2,20,10,1,,,bunch
Anemone,162,Anemone Mistral Red,850,47598,Anemone Red,,2,20,10,1,,,bunch
Anemone,14899,Anemone Mistral Soft Purple,915,,,,,,,,,,
Anemone,202,Anemone Mistral White,7095,,,,2,20,10,1,,,bunch
Anemone,15950,Anemone Tiger Blue,95,45244,,,3.3,33,10,1,,,bunch
Anemone,,Anemone Purple,,45247,Anemone Purple Canada,,3.3,33,10,1,,,bunch
Anthurium,15556,Anthurium Coral - Sante MED,335,,,,,,,,,,
Anthurium,15924,Anthurium Dark Red - Choco LG,294,,,,,,,,,,
Anthurium,15413,Anthurium Green - Midori - MED,420,,,,8.99,8.99,1,10,,,stem
Anthurium,42,Anthurium White - Acropolis - LG,60,,,,,,,,,,
Anthurium,15536,Anthurium White - Acropolis - MED,487,,,,,,,,,,
Anthurium,,,,36213,Anthurium Assorted Medium 15pk,,6.99,6.99,1,15,,,Stem
Anthurium,,,,10025,Anthurium Blush Maui Bride 10p,,7.99,7.99,1,10,,,Stem
Anthurium,,,,17364,Anthurium Orange Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,31387,Anthurium Purple Tulip Med 10p,,6.99,6.99,1,10,,,Stem
Anthurium,,,,34254,Anthurium Red Dark Large 10pk,,7.99,7.99,1,10,,,Stem
Anthurium,,,,37926,Anthurium Red Dark Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,30180,Anthurium Red Dark Small 15pk,,6.99,6.99,1,15,,,Stem
Anthurium,,,,46412,Anthurium Red Large Haw. 10pk,,7.99,7.99,1,10,,,Stem
Anthurium,,,,33255,Anthurium Red Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,31455,Anthurium Red Small 15pk,,5.99,5.99,1,15,,,Stem
Anthurium,,,,10074,Anthurium White Large 10pk,,9.99,9.99,1,10,,,Stem
Anthurium,,,,10075,Anthurium White Medium 10pk,,8.99,8.99,1,10,,,Stem
Anthurium,,Anthurium Burgundy Medium,,48218,,,6.99,6.99,1,10,,,stem
Anthurium,,Anthurium Green Large,,48313,,,9.99,9.99,1,10,,,stem
Anthurium,,Anthurium Green Small,,48312,,,6.99,6.99,1,15,,,stem
Anthurium,,Anthurium Peach Medium,,17367,,,6.99,6.99,1,10,,,stem
Anthurium,,Anthurium White Small,,34084,,,6.99,6.99,1,15,,,stem
Aster,15346,Aster - Purple Monarch,140,,,,,,,,,,
Aster,14813,Aster - White Chelsea,4635,,,,,,,,,,
Aster,15085,Aster Lavender -Isabella,40,,,,,,,,,,
Aster,,,,31190,Aster Assorted Mardi Gras 10pk,,1.958,9.79,5,10,,,Bu
Aster,,,,29751,Aster Asst Carnival Duplo Cs8,,0.979,9.79,10,8,,,Bu
Aster,,,,58956,Aster Crm Estelle Solidago 5pk,,0.579,5.79,10,5,,,Bu
Aster,,,,29692,Aster Matsumoto Pink Hot 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,29693,Aster Matsumoto Pink Light 10s,,0.999,9.99,10,1,,,Bu
Aster,,,,29698,Aster Matsumoto Red 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,29697,Aster Matsumoto White 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,20530,Aster Purple,,0.499,4.99,10,1,,,Bu
Aster,,,,26404,Aster Purple Mardi Gras,,2.4,12.00,5,1,,,Bu
Aster,,,,26779,Aster White Mardi Gras,,2.4,12.00,5,1,,,Bu
Aster,,,,60579,Aster White Sunspring,,0.499,4.99,10,1,,,Bu
Aster,,,,56855,Aster Yellow Solidago,,0.499,4.99,10,1,,,Bu
Aster,,,,20591,Aster Yellow Solidago Mardi Gr,,2.4,12.00,5,1,,,Bu
Aster,,,,20551,Aster Yellow Solidago Queen's,,0.499,4.99,10,1,,,Bu
Astrantia,306,Astrantia Burgundy,1000,40048,,,1,10,10,1,,,bunch
Astrantia,41,Astrantia Pink,180,12645,,,1,10,10,1,,,bunch
Astrantia,239,Astrantia White,1700,47656,,,1,10,10,1,,,bunch
Astrantia,,,,12645,Astrantia Pink Dutch,,0.999,9.99,10,1,,,Bu
Baby's Breath,15157,Baby's Breath White - Xlence,56490,60800,,,2,10,5,1,,WEIGHTED,bunch
Baby's Breath,,,,29327,Gypsophila Cosmic,,1.798,8.99,5,1,,weighted,Bu
Baby's Breath,,,,46980,Gypsophila Cosmic 10pk,,1.458,7.29,5,10,,weighted,Bu
Baby's Breath,,,,29328,Gypsophila Excellence 6pk,,1.558,7.79,5,6,,weighted,Bu
Baby's Breath,,,,29337,Gypsophila Excellence Pyg 6pk,,1.598,7.99,5,6,,weighted,Bu
Baby's Breath,,,,17738,Gypsophila Grandtastic 6pk,,1.798,8.99,5,6,,weighted,Bu
Baby's Breath,,,,17691,Gypsophila Wild Pearl 6pk,,1.658,8.29,5,6,,weighted,Bu
Bells of Ireland  ,,,,21484,Bells of Ireland 70-80cm,,1.299,12.99,10,1,,,Bu
Bells of Ireland  ,,,,32232,Bells of Ireland 90cm,,1.499,14.99,10,1,,,Bu
Berry Black Navajo 40/60cm Chi,,,,35588,Berry Black Navajo 40/60cm Chi,,4.998,24.99,5,1,,weighted,Bu
Berry Date Palm Green 5stm,,,,28162,Berry Date Palm Green 5stm,,1.798,8.99,5,1,,,Bu
Berzelia,,,,33149,Berzelia Green 10st California,,1.199,11.99,10,1,,,Bu
Berzelia,,,,32902,Berzelia Green Galpini Baubles,,1.999,19.99,10,1,,,Bu
Berzelia,,,,35251,Berzelia Strawberry,,1.999,19.99,10,1,,,Bu
Bird of Paradise ,,,,34127,Bird of Paradise Super 20pk,,3.49,3.49,1,20,,,Stem
Bouquet Tropical ,,,,45493,Bouquet Tropical Flat Orion 65,,15.99,15.99,1,2,,,Bu
Bouquet Tropical ,,,,45495,Bouquet Tropical Round Snow 50,,19.99,19.99,1,2,,,Bu
Branch Kiwi Vine,,,,28262,Branch Kiwi Vine,,0.999,9.99,10,1,,,Bu
Branch Sumac,,,,39503,Branch Sumac,,2.198,10.99,5,1,,Weighted,Bu
Butterfly Ranunculus,15564,Butterfly Ranuculus pink - Hera,1815,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15411,Butterfly Ranunculus - Eris,785,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15931,Butterfly Ranunculus - Magical Strawberry,1340,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,14979,Butterfly Ranunculus - Orange Minoan,1240,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,14934,Butterfly Ranunculus - Red Hades,3295,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,14905,Butterfly Ranunculus Blush - Ariande,12095,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15003,Butterfly Ranunculus Pink - Lycia,1810,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15592,Butterfly Ranunculus Purple - Magical Chocolate,1090,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15593,Butterfly Ranunculus Salmon - Magical Salmon,4385,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15405,Butterfly Ranunculus terra cotta- Musa,5110,,,,3.3,33,10,1,,,bunch
Butterfly Ranunculus,15676,Butterfly Ranunculus White - Grace,1350,,,,3.3,33,10,1,,,bunch
