Category,Subcategory,Combo Box?,Location
Alstroemeria,Florincas - Spray Alstro,FALSE,
Alstroemeria,Standard,TRUE,Bogata
Carnation,Minicarnation - Spray,FALSE,
Carnation,Standard,FALSE,
Carnation,Tinted,FALSE,
Chrysanthemum,Button,TRUE,Bogata
Chrysanthemum,Cremon,TRUE,Bogata
Chrysanthemum,Cushion,TRUE,Bogata
Chrysanthemum,Daisy,TRUE,Bogata
Chrysanthemum,Mum Ball,TRUE,Bogata
Chrysanthemum,Novelty,TRUE,Bogata
Chrysanthemum,Santini,TRUE,Bogata
Chrysanthemum,Spider,TRUE,Bogata
Eucalyptus,Standard,TRUE,Bogata
Gerbera,Standard,FALSE,
Hydrangea,Antiques,FALSE,
Hydrangea,Big Petals,FALSE,
Hydrangea,Classics,FALSE,
Hydrangea,Novelties,FALSE,
Rose,Elevate,FALSE,
Rose,Garden,FALSE,
Rose,Spray,FALSE,
Rose,Standard,FALSE,
Summer Flowers,Ammi Majus,FALSE,
Summer Flowers,Aster,TRUE,Bogata
Summer Flowers,Craspedia,FALSE,
Summer Flowers,Delphinium - Spray,TRUE,Bogata
Summer Flowers,Dianthus,TRUE,Bogata
Summer Flowers,Eryngium,TRUE,Bogata
Summer Flowers,Green Dianthus,TRUE,Bogata
Summer Flowers,Greens,TRUE,Bogata
Summer Flowers,Gypsophila,TRUE,Bogata
Summer Flowers,Hypericum,TRUE,Bogata
Summer Flowers,Lepidium,TRUE,Bogata
Summer Flowers,Lily - Asiatic,FALSE,
Summer Flowers,Lily - Oriental,FALSE,
Summer Flowers,Lily - Roselily,FALSE,
Summer Flowers,Limonium,TRUE,Bogata
Summer Flowers,Matricaria,FALSE,
Summer Flowers,Matsumoto,TRUE,Bogata
Summer Flowers,Minicalla,TRUE,Bogata
Summer Flowers,Ranunculus,FALSE,
Summer Flowers,Snapdragon,TRUE,Bogata
Summer Flowers,Statice,TRUE,Bogata
Summer Flowers,Stock - Spray,TRUE,Bogata
Summer Flowers,Stock - Standard,TRUE,Bogata
Summer Flowers,Succulent,TRUE,Bogata
Summer Flowers,Sunflower,TRUE,Bogata
Summer Flowers,Veronica,TRUE,Bogata
