,,,,,,,,,,,
 PACKING STANDARDS THE ELITE FLOWER,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,THE ELITE FLOWER OTHER FLOWERS,BOX,BUNCHES
BULK CARNS / MINIS,BOX,STANDARD,FANCY,SELECT,,,,,Aster Buterffl (10),QB,28
SPRAYCARNATION 10 STEMS,QB (quarter Elite lila),NA,200,200, ,,,,,EB,12
,HB (half Elite lila),NA,400,400,,,,,,HB,48
,EB,NA,100,100,,,,,Solidago Golden Glory(10),QB,30
,,,,,,,,,,EB,12
,,,,,,,,,,HB,50
BULK WAYUU ROSES,BOX,40 cm,50 cm,60 cm,70 +cm,,,,Aster Matsumoto (10),QB,12
 WAYUU ROSES 25 STEMS,QB WAYUU,125,100,100,75,,,,,EB,6
 ,HB WAYUU,300,275,250,200,,,,,HB,20
,HB WAYUU RUSSIAN,500,400,350,300,,,,Diantus Green Ball (10St/Bu),QB,12
"BIG HEAD VARIETIES  (PINK X-pression, Country Home, Candlelight) PACK 150 * HB (prefer not to pack in QB)",,,,,,,,,,EB,6
,,,,,,,,,,HB,24
BULK WAYUU SPRAY ROSES,BOX,40 cm,50 cm,60 cm,,,,,Dianthus Amazon (10St/Bu),QB,12
 WAYUU ROSES 10 STEMS,QB WAYUU,100,100,100,,,,,,EB,6
,HB WAYUU,200,200,200,,,,,,HB,24
,,,,,,,,,Stock spray (10St/Bu) - Papel + Capuchón ,QB,8
BULK WAYUU CARNATION,BOX,FANCY - SELECT,,,,,,,,EB,4
 WAYUU CARNATION 25 STEMS,QB WAYUU SMALL,250,,,,,,,,HB,16
,QB WAYUU HIGH,350,,,,,,,Stock Standard (10St/Bu) - Papel + Capuchón ,QB,14
,HB WAYUU SMALL,450,,,,,,,,EB,6
,HB WAYUU HIGH,500,,,,,,,,HB,24
,,,,,,,,,Gerberas (12 Tallos),PIZZA,48
,,,,,,,,,Gerberas (5 Tallos),HB,180
BULK WAYUU ALSTROEMERIA ,BOX,Fancy,Select,Premium,Incredible,,,,,EB,40
ALSTROEMERIA 10 STEMS,EB (Elite),80,60,50,40,,,,,QB,90
,QB SMALL WAYUU  (97),140,120,100,80,,,,Gerrondos (Tallos),PIZZA,48
,QB WAYUU SHORT (101),180,160,140,120,,,,,HB,100
,HB SMALL WAYUU ,240,200,180,140,,,,,QB,60
,,,,,,,,,Oriental Lilies (10),QB,4
,,,,,,,,,,EB,2
,,,,,,,,,,HB,10
,,,,,,,,,Rose Lily (10),QB,4
,,,,,,,,,,EB,2
,,,,,,,,,,HB,8
,,,,,,,,,Asiatic Lilies (10),QB,6
,,,,,,,,,,EB,3
,,,,,,,,,,HB,12
,,,,,,,,,"Chrysanthemums (7St) Pompones Button, Daisy, Santiny, Novelty, Cushion",QB,14
,,,,,,,,,,EB,7
,,,,,,,,,,HB,28
,,,,,,,,,Spider (10),QB,10
,,,,,,,,,,EB,6
,,,,,,,,,,HB,20
,,,,,,,,,Bombon- Cremon - Bomball (10),QB,10
,,,,,,,,,,EB,6
,,,,,,,,,,HB,18
,,,,,,,,,Sunflower (5),QB,60
,,,,,,,,,,EB,30
,,,,,,,,,,HB,120
,,,,,,,,,Gypsophilia (10),QB,14
,,,,,,,,,,EB,9
,,,,,,,,,,HB,28
,,,,,,,,,Matricaria (10),EB,6
,,,,,,,,,,QB,12
,,,,,,,,,,HB,24
,,,,,,,,,Minicallas (10) 50Cm 60cm - Papel + Capuchón ,QB,14
,,,,,,,,,,EB,7
,,,,,,,,,,HB,20
,,,,,,,,,Eryngium (10),QB,10
,,,,,,,,,,EB,3
,,,,,,,,,,HB,24
,,,,,,,,,European Poms (10),QB,80
,,,,,,,,,,HB,140
,,,,,,,,,Large Callas (5),QB,30
,,,,,,,,,,HB,70
,,,,,,,,,Statice (10St),QB,10
,,,,,,,,,,EB,4
,,,,,,,,,,HB,20
,,,,,,,,,Hypericum (10),QB,12
,,,,,,,,,,EB,7
,,,,,,,,,,HB,24
,,,,,,,,,"Greens Small (Coculus, Ruscus, Ligustrum)",QB,20
,,,,,,,,,,HB,40
,,,,,,,,,"Greens Medium (Vibornum,Aralia, Croton, Eucaliptus, Robelin Palm,Leather Leaf) (10)",QB,12
,,,,,,,,,,HB,20
,,,,,,,,,Lilly Grass (60 STEM * BUNCH),QB,20
,,,,,,,,,"Greens Large (Leucadendrum, Pittosporum) (10)",QB,12
,,,,,,,,,,HB,20
,,,,,,,,,Ammimajus (5),QB,24
,,,,,,,,,,EB,12
,,,,,,,,,,HB,40
,,,,,,,,,Carthamus (10) //  Zanzibar,QB,12
,,,,,,,,,,EB,6
,,,,,,,,,,HB,24
,,,,,,,,,Craspedia (10),QB,24
,,,,,,,,,,EB,12
,,,,,,,,,,HB,48
,,,,,,,,,Escabiosa (10),QB,20
,,,,,,,,,,EB,10
,,,,,,,,,Veronica (10),QB,21
,,,,,,,,,,EB,12
,,,,,,,,,,HB,42
,,,,,,,,,Campanula (10) Papel + Capuchón ,EB,6
,,,,,,,,,,QB,12
,,,,,,,,,,HB,24
,,,,,,,,,Delphinium (10),QB,16
,,,,,,,,,,EB,8
,,,,,,,,,,HB,36
,,,,,,,,,Marigold (10),QB,80
,,,,,,,,,,HB,120
,,,,,,,,,Lisianthus (10),QB,120
,,,,,,,,,,HB,270
,,,,,,,,,Godethias (10),QB,100
,,,,,,,,,,HB,200
,,,,,,,,,Ranunculus (10St) 40 A 45 Cm ,EB,10
,,,,,,,,,,QB,20
,,,,,,,,,,HB,40
