,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Color,Variety,Category,40cm,50cm,60cm,70cm,,Color,Variety,Category,40cm,50cm,60cm,70cm
,Red,Delirium,Super Premium,$0.32,$0.38,$0.44,$0.50,,Red,Delirium,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Freedom,Premium,$0.26,$0.34,$0.38,$0.44,,,Freedom,Premium,$0.29,$0.37,$0.42,$0.48
,,Hearts,Novelties,$0.40,$0.50,$0.60,$0.70,,,Hearts,Novelties,$0.44,$0.55,$0.66,$0.77
,,Mayra Red,Garden,$0.55,$0.70,$0.80,,,,Mayra Red,Garden,$0.61,$0.77,$0.88,
,,Mamma Mia,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Mamma Mia,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Red Eye,Garden,$0.55,$0.70,$0.80,,,,Red Eye,Garden,$0.61,$0.77,$0.88,
,White,Akito,Premium,$0.26,$0.34,$0.38,$0.44,,White,Akito,Premium,$0.29,$0.37,$0.42,$0.48
,,Candlelight,Novelties,$0.40,$0.50,$0.60,$0.70,,,Candlelight,Novelties,$0.44,$0.55,$0.66,$0.77
,,Escimo,Premium,$0.26,$0.34,$0.38,$0.44,,,Escimo,Premium,$0.29,$0.37,$0.42,$0.48
,,Mondial,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Mondial,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Moonstone,Novelties,$0.40,$0.50,$0.60,$0.70,,,Moonstone,Novelties,$0.44,$0.55,$0.66,$0.77
,,Playa Blanca,Novelties,$0.40,$0.50,$0.60,$0.70,,,Playa Blanca,Novelties,$0.44,$0.55,$0.66,$0.77
,,Cotton X-Pression,Garden,$0.55,$0.70,$0.80,,,,Cotton X-Pression,Garden,$0.61,$0.77,$0.88,
,,Creamykiss,Garden,$0.55,$0.70,$0.80,,,,Creamykiss,Garden,$0.61,$0.77,$0.88,
,,Mayra White,Garden,$0.55,$0.70,$0.80,,,,Mayra White,Garden,$0.61,$0.77,$0.88,
,,Starwalker,Garden,$0.55,$0.70,$0.80,,,,Starwalker,Garden,$0.61,$0.77,$0.88,
,,Sugar Doll,Premium,$0.26,$0.34,$0.38,$0.44,,,Sugar Doll,Premium,$0.29,$0.37,$0.42,$0.48
