Bouquets, Product Name ,Design,Lenght/ cm,Bouquet Lenght / inches,Box type,units / Box,Stems / Bouquet,Price by,DSD Fedex,DSD Fedex HIGH SEASON
Round Bouquets,Large Collection (22-32 stems),See Catalog for designs,55,21.8,HB,8,22-32,Price by bouquet,$18.88,$21.31
Round Bouquets,Large Collection (22-32 stems),See Catalog for designs,55,21.8,BB,4,22-32,Price by bouquet,$22.09,$24.60
Round Bouquets,Medium Collection (19-26 stems),See Catalog for designs,50,19.9,HB,12,21-26,Price by bouquet,$14.35,$16.23
Round Bouquets,Medium Collection (19-26 stems),See Catalog for designs,50,19.9,BB,6,21-26,Price by bouquet,$16.49,$18.43
Round Bouquets,Plus Collection (13-18 stems),See Catalog for designs,50,19.9,HB,16,13-18,Price by bouquet,$12.10,$13.71
Round Bouquets,Plus Collection (13-18 stems),See Catalog for designs,50,19.9,BB,8,13-18,Price by bouquet,$13.71,$15.37
Round Bouquets,Regular Collection (10-16 stems),See Catalog for designs,50,19.9,HB,20,10-16,Price by bouquet,$10.63,$12.06
Round Bouquets,Regular Collection (10-16 stems),See Catalog for designs,50,19.9,BB,10,10-16,Price by bouquet,$11.92,$13.38
Round Bouquets,Regular Collection (10-16 stems),See Catalog for designs,50,19.9,1/8C,6,10-16,Price by bouquet,$13.08,$14.51
Round Bouquets,Fun Collection (9-13 stems),See Catalog for designs,27,10.7,HB,22,9-13,Price by bouquet,$9.21,$10.44
Round Bouquets,Fun Collection (9-13 stems),See Catalog for designs,27,10.7,QB,12,9-13,Price by bouquet,$9.40,$10.54
Round Bouquets,Fun Collection (9-13 stems),See Catalog for designs,27,10.7,1/8C,8,9-13,Price by bouquet,$10.34,$11.50
Round Bouquets,Fun Collection + vase (9-13 stems),See Catalog for designs,27,10.7,HB,22,9-13,Price by bouquet,$9.41,$10.67
Round Bouquets,Fun Collection + vase (9-13 stems),See Catalog for designs,27,10.7,QB,12,9-13,Price by bouquet,$9.60,$10.77
Round Bouquets,Fun Collection + vase (9-13 stems),See Catalog for designs,27,10.7,1/8C,8,9-13,Price by bouquet,$10.54,$11.73
Flat Bouquets,BQT Flat Samba,,90,35.7,HB-P16,10,7,Price by bouquet,$17.23,$19.50
Flat Bouquets,BQT Flat Caribe,,90,35.7,HB-P18,12,11,Price by bouquet,$17.03,$19.33
Flat Bouquets,BQT Flat Caribe,,90,35.7,QB-P9,6,11,Price by bouquet,$17.81,$19.95
Flat Bouquets,BQT Flat Premium,,90,35.7,HB-P16,12,10,Price by bouquet,$13.87,$15.69
Flat Bouquets,BQT Flat Premium,,90,35.7,QB-P8,6,10,Price by bouquet,$14.65,$16.32
Flat Bouquets,BQT Flat 63H,,70,27.8,HB-P16,22,11,Price by bouquet,$10.07,$11.45
Flat Bouquets,BQT Flat 63H,,70,27.8,QB-P9,12,11,Price by bouquet,$10.58,$11.90
Flat Bouquets,BQT Flat Zaire,,60,23.8,HB-P13,22,8,Price by bouquet,$9.42,$10.69
Flat Bouquets,BQT Flat Zaire,,60,23.8,QB-P8,12,8,Price by bouquet,$10.27,$11.55
