quarter,supplier,stem_name,stem_type,total_stems,quarterly_events,avg_stems_per_event,annual_total
4,,Rose Blush - Poma Rosa,,195,641,0.3042,195
4,,Scabiosa White- Caucasian,,100,641,0.156,100
2,,Baby's Breath White - Xlence,,25,720,0.0347,95
4,,Baby's Breath White - Xlence,,70,641,0.1092,95
4,,Rose White - Playa Blanca,Rose,90,641,0.1404,90
4,,Butterfly Ranunculus Blush - Ariande,,85,641,0.1326,85
4,,Ranunculus - Cloni Success Lady Pink,,80,641,0.1248,80
4,,Solomio White - Ard,,75,641,0.117,75
4,,Carnation White - Polar Route,,55,641,0.0858,55
4,,Ranunculus - Success Brownie,,55,641,0.0858,55
4,,Rose White - Yuraq,,55,641,0.0858,55
4,,Limonium- Silver Pink,,50,641,0.078,50
4,,Rose Blush - Aly,,50,641,0.078,50
4,,Butterfly Ranunculus terra cotta- Musa,,40,641,0.0624,40
4,,Delphinium White (White Center),,40,641,0.0624,40
3,,Cremon Mum White- Maisy,,35,672,0.0521,35
4,,Rose Hot Pink - Pink Floyd,,35,641,0.0546,35
3,,Amaranthus- Hanging Green - 70cm,,34,672,0.0506,34
4,,Rose Mustard - Symbol,,25,641,0.039,25
3,,Rose Crimson - Razzmatazz,,20,672,0.0298,20
4,,Butterfly Ranunculus White - Magical Mascarpone,,15,641,0.0234,15
3,,Carnation Purple - Burgundy PIxel,,15,672,0.0223,15
4,,Rose Burgundy - Heart,,10,641,0.0156,10
4,,Smilax Jumbo Box ( East Texas ),,1,641,0.0016,1
4,,Veronica Spray White,,0,641,0,0
1,Agrogana,Rose White - Playa Blanca,Rose,5620,181,31.0497,70180
2,Agrogana,Rose White - Playa Blanca,Rose,21535,720,29.9097,70180
3,Agrogana,Rose White - Playa Blanca,Rose,25195,672,37.4926,70180
4,Agrogana,Rose White - Playa Blanca,Rose,17830,641,27.8159,70180
1,Agrogana,Israeli Ruscus,,4355,181,24.0608,58682
2,Agrogana,Israeli Ruscus,,17200,720,23.8889,58682
3,Agrogana,Israeli Ruscus,,18990,672,28.2589,58682
4,Agrogana,Israeli Ruscus,,18137,641,28.2949,58682
1,Agrogana,Baby's Breath White - Xlence,,3845,181,21.2431,57175
2,Agrogana,Baby's Breath White - Xlence,,15465,720,21.4792,57175
3,Agrogana,Baby's Breath White - Xlence,,20095,672,29.9033,57175
4,Agrogana,Baby's Breath White - Xlence,,17770,641,27.7223,57175
1,Agrogana,Eucalyptus - Parvifolia,Eucalyptus,3060,181,16.9061,52405
2,Agrogana,Eucalyptus - Parvifolia,Eucalyptus,13165,720,18.2847,52405
3,Agrogana,Eucalyptus - Parvifolia,Eucalyptus,18230,672,27.128,52405
4,Agrogana,Eucalyptus - Parvifolia,Eucalyptus,17950,641,28.0031,52405
1,Agrogana,Ranunculus - White Elegance,Ranunculus,3400,181,18.7845,43370
2,Agrogana,Ranunculus - White Elegance,Ranunculus,14685,720,20.3958,43370
