Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Carlsbad,Amaranthus,Amaranthus Hanging Green,$1.25,,2025-11-06 15:58:38,,,MEDIAN of PRICE/UNIT - GS,Branch - GS,,,,,,,,,,
Carlsbad,Baby's Breath,Gypsophila Million Star White,$1.05,,2025-11-06 16:12:45,,,VARIETY - GS,Carlsbad,Chandler,Charlotte,Cleveland,Houston,LAX,Miami,Raleigh,Riverside,San Francisco,Grand Total
Carlsbad,Calla,Calla Lily Mini White,$2.25,,2026-02-12 10:39:35,,,Acacia Blooming Yellow,,,,,,,$1.50,,,,$1.50
Carlsbad,Calla - Mini,Calla Lily Mini Purple,$2.25,,2025-11-14 9:36:51,,,Acacia Foliage Pearl Silver,,$1.25,,,,,$1.35,,,,$1.30
Carlsbad,Delphinium,Delphinium Belladonna White,$1.90,,2025-11-06 16:12:45,,,Agonis Brown,,,,,,,$1.85,,,,$1.85
Carlsbad,Delphinium,Delphinium Sky Waltz Light Blue 70cm,$1.90,,2025-11-06 16:12:45,,,Allium Japan Snake Ball Green,,,,,,,$5.95,,,,$5.95
Carlsbad,Dianthus,Dianthus Solomio White,$1.20,,2025-11-06 15:58:38,,,Amaranthus Hanging Green,$1.25,$1.85,,,,,$2.25,,,#NUM!,$2.05
Carlsbad,Greenery,Eucalyptus Parvifolia Green,$0.80,,2025-11-06 16:12:45,,,Amaranthus Hanging Red,,,,,,,$2.25,,,,$2.25
Carlsbad,Greenery,Eucalyptus Silver Dollar Green,$0.80,,2025-11-06 16:12:45,,,Anemone Mistral Blush,,,,,,,$2.25,,,,$2.25
Carlsbad,Greenery,Leather Green,$0.65,,2025-11-06 16:12:45,,,Anthurium Burgundy Medium,,,,,,,$12.50,,,,$12.50
Carlsbad,Greenery,Ruscus Israeli Green,$0.60,,2025-11-06 15:58:38,,,Aspidistra Green,,,,,,,$0.75,,,,$0.75
Carlsbad,Greenery,Ruscus Italian Green 100 cm,$1.35,,2025-11-14 9:36:51,,,Aster Montecasino White,,#NUM!,,,,,$0.85,,,,$0.85
