Stem ID,Stem Category,Stem Name,Preferred Vendor,Base Stem Price,Agrogana,Agrogana + Freight (HIDE),Golden,Golden + Freight (HIDE),Mayesh,Mayesh + Freight (HIDE),Magic,Magic + Freight (HIDE),Earthly Orchids,Earthly Orchids + Freight (HIDE),Poppy Vendor,Vivek,Vivek + Freight (HIDE),,
,Anemone,Anemone Light Pink,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone Burgundi,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone Blush,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone Red,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone Soft Purple,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone Pinkie,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone White,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Anemone,Anemone- Purple,Agrogana,$1.08,$0.75,$1.08,,,,,,,,,,,,,
,Astrantia,Astrantia White,Agrogana,$0.73,$0.40,$0.73,,,$1.95,$2.63,,,,,,,,,
,Astrantia,Astrantia Light Pink,Agrogana,$0.73,$0.40,$0.73,,,,,,,,,,,,,
,Astrantia,Astrantia Pink,Agrogana,$0.73,$0.40,$0.73,,,,,,,,,,,,,
,Astrantia,Astrantia Burgundy,Agrogana,$0.73,$0.40,$0.73,,,,,,,,,,,,,
,Baby's Breath,Baby's Breath White - Xlence,Agrogana,$1.08,$0.75,$1.08,$0.72,$1.59,,,,,,,,,,,
,Bells of Ireland,Bells of Ireland,Agrogana,$0.78,$0.45,$0.78,,,,,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus terra cotta- Musa,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Lavender - Europe,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Light Yellow - Liati,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus - Orange Minoan,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranuculus pink - Hera,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Blush - Ariande,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Yellow - Artemis,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Pink - Lycia,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Orange - Charis,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Yellow - Phytalos,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus - Red Hades,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus White - Magical Mascarpone,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Purple - Magical Chocolate,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Salmon - Magical Salmon,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Yellow - Helios,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Light Pink - Isis,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus Terracotta - Theseus,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Butterfly Ranunculus,Butterfly Ranunculus - Eris,Agrogana,$1.53,$0.35,$0.68,,,$6.04,$6.72,,,,,,,,,
,Calla,Mini Calla Lily Cream,Agrogana,$1.18,$0.85,$1.18,,,,,,,,,,,,,
,Calla,Mini Calla Lily Purple/white - Picasso,Agrogana,$1.18,$0.85,$1.18,,,,,,,,,,,,,
,Calla,Mini Calla Lily Purple - La Paz,Agrogana,$1.18,$0.85,$1.18,,,,,,,,,,,,,
,Calla,Mini Calla Lily Orange - Mango,Agrogana,$1.18,$0.85,$1.18,,,,,,,,,,,,,
,Carnation,Carnation - Copper Extasis,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation White - Polar Route,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Peach - Novia,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Peach - Brut,Agrogana,$0.68,$0.35,$0.68,,,$1.07,$1.75,,,,,,,,,
,Carnation,Carnation Burgundy- Red Velvet,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Burgundy - Clavel Velvet,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation - Chroma Thrill,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Peach - Minami,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Peach/blush - Creta,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Peach - Lizzy,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation Purple/Mauve - Hypnosis,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Carnation,Carnation - Green Voragine,Agrogana,$0.68,$0.35,$0.68,,,,,,,,,,,,,
,Chrysanthemum,Bronze/gold Football Mum,Agrogana,$0.78,$0.45,$0.78,,,,,,,,,,,,,
,Chrysanthemum,Mum Salmon - Oefa,Agrogana,$0.78,$0.45,$0.78,,,,,,,,,,,,,
,Chrysanthemum,Yellow - Anastasia Sunny,Agrogana,$0.78,$0.45,$0.78,,,,,,,,,,,,,
,Craspedia,Craspedia Yellow,Agrogana,$0.73,$0.40,$0.73,,,,,,,,,,,,,
,Delphinium,Delphinium Pink - Trick,Agrogana,$0.83,$0.50,$0.83,,,,,,,,,,,,,
,Delphinium,Delphinium Blush - Pink Planet,Agrogana,$0.83,$0.50,$0.83,,,,,,,,,,,,,
,Delphinium,Delphinium - Blue Planet Spray (dark),Agrogana,$0.83,$0.50,$0.83,,,,,,,,,,,,,
,Delphinium,Delphinium Yellow - Trick,Agrogana,$0.83,$0.50,$0.83,,,,,,,,,,,,,
